"airline","date_of_journey","source","destination","route","dep_time","arrival_time","total_stops","additional_info","price","journey_day","journey_month","duration_total_mins"
"Air India","2021-05-14","Raipur","Delhi","RAI-GOA-VAR-DEL","04:25","11:22",2,"in-flight meal not included",12646,14,5,135
"Star Air","2021-09-23","Goa","Bhubaneswar","GOA-JAI-RAI-BHU","07:33","07:52",2,"1 long layover",10282,23,9,735
"Star Air","2025-12-18","Ahmedabad","Varanasi","AHM-CHE-VAR","09:53","18:40",1,"business class available",11894,18,12,75
"Air India","2023-04-13","Hyderabad","Bangalore","HYD-MUM-BAN","00:01","20:17",1,"in-flight meal not included",12153,13,4,690
"Air India","2024-01-20","Surat","Goa","SUR-KOL-AHM-GOA","01:52","04:38",2,"limited seats",8112,20,1,720
"GoAir","2021-05-05","Ahmedabad","Delhi","AHM-DEL","06:35","01:02",0,"business class available",5022,5,5,675
"SpiceJet","2024-11-12","Mumbai","Lucknow","MUM-HYD-PUN-LUC","13:05","22:23",2,"limited seats",9006,12,11,660
"Akasa Air","2021-01-16","Lucknow","Kolkata","LUC-DEL-KOL","03:11","02:17",1,"new aircraft",12163,16,1,825
"Air India","2022-09-18","Chennai","Lucknow","CHE-BHU-DEL-RAI-LUC","21:27","08:37",3,"1 long layover",9317,18,9,645
"Alliance Air","2020-06-24","Raipur","Patna","RAI-LUC-PAT","20:19","16:18",1,"extra baggage allowed",8324,24,6,525
"Vistara","2021-06-08","Indore","Cochin","IND-PUN-COC","19:16","02:56",1,"limited seats",11660,8,6,570
"GoAir","2022-05-01","Delhi","Raipur","DEL-LUC-AHM-RAI","20:28","05:46",2,"extra baggage allowed",6153,1,5,495
"GoAir","2024-10-07","Varanasi","Ahmedabad","VAR-COC-BHU-AHM","05:33","20:48",2,"limited seats",9254,7,10,180
"SpiceJet","2025-04-16","Mumbai","Raipur","MUM-CHE-RAI","11:29","14:14",1,"none",8439,16,4,705
"Akasa Air","2022-06-08","Delhi","Varanasi","DEL-BHU-RAI-LUC-VAR","00:41","15:36",3,"extra baggage allowed",15770,8,6,120
"Vistara","2021-06-11","Pune","Jaipur","PUN-BAN-IND-NAG-JAI","15:01","01:33",3,"new aircraft",11818,11,6,810
"Vistara","2025-12-18","Cochin","Lucknow","COC-LUC","01:51","03:11",0,"red-eye flight",7469,18,12,270
"GoAir","2020-09-11","Pune","Cochin","PUN-IND-COC","13:03","15:30",1,"limited seats",4493,11,9,360
"Air India","2020-11-01","Delhi","Patna","DEL-IND-HYD-BHU-PAT","13:18","11:17",3,"limited seats",13279,1,11,105
"SpiceJet","2023-10-16","Patna","Mumbai","PAT-SUR-KOL-HYD-MUM","18:14","23:29",3,"new aircraft",7874,16,10,180
"Star Air","2021-03-01","Mumbai","Bhubaneswar","MUM-BAN-BHU","21:30","12:55",1,"red-eye flight",7589,1,3,795
"Alliance Air","2023-09-28","Guwahati","Nagpur","GUW-PAT-AHM-CHE-NAG","15:28","17:01",3,"none",14186,28,9,840
"AirAsia India","2024-03-17","Bhubaneswar","Patna","BHU-MUM-IND-PAT","21:24","19:38",2,"red-eye flight",13644,17,3,555
"TruJet","2020-03-07","Pune","Delhi","PUN-DEL","18:20","02:35",0,"1 long layover",3464,7,3,300
"GoAir","2025-01-04","Jaipur","Raipur","JAI-HYD-DEL-RAI","14:16","01:43",2,"in-flight meal not included",13559,4,1,900
"SpiceJet","2023-02-01","Bhubaneswar","Guwahati","BHU-COC-GOA-GUW","21:02","06:42",2,"new aircraft",13107,1,2,840
"Akasa Air","2021-06-15","Raipur","Pune","RAI-PUN","15:40","01:06",0,"in-flight meal not included",6513,15,6,930
"Alliance Air","2023-12-14","Bhubaneswar","Goa","BHU-DEL-GOA","00:34","14:10",1,"wifi available",4178,14,12,540
"Star Air","2023-06-24","Surat","Kolkata","SUR-BHU-BAN-GOA-KOL","05:11","03:27",3,"1 long layover",11075,24,6,90
"SpiceJet","2025-02-13","Surat","Chennai","SUR-PUN-RAI-BHU-CHE","13:06","05:14",3,"1 long layover",15534,13,2,795
"Akasa Air","2023-01-27","Patna","Bhubaneswar","PAT-GUW-BAN-VAR-BHU","22:02","22:12",3,"business class available",9708,27,1,270
"Alliance Air","2020-02-27","Guwahati","Raipur","GUW-COC-JAI-MUM-RAI","09:42","21:26",3,"red-eye flight",15837,27,2,840
"GoAir","2022-04-22","Kolkata","Surat","KOL-GOA-SUR","16:20","17:29",1,"in-flight meal not included",5995,22,4,165
"AirAsia India","2019-12-12","Chennai","Delhi","CHE-IND-DEL","05:53","08:45",1,"1 long layover",11381,12,12,600
"Star Air","2024-05-18","Chennai","Delhi","CHE-KOL-SUR-VAR-DEL","18:38","05:19",3,"none",12598,18,5,870
"GoAir","2022-10-19","Ahmedabad","Surat","AHM-JAI-GOA-MUM-SUR","12:23","13:32",3,"extra baggage allowed",11196,19,10,765
"TruJet","2019-03-25","Cochin","Mumbai","COC-MUM","17:17","00:28",0,"red-eye flight",9850,25,3,240
"Star Air","2020-09-27","Varanasi","Kolkata","VAR-BAN-LUC-AHM-KOL","12:02","01:33",3,"business class available",14675,27,9,120
"AirAsia India","2023-10-09","Bangalore","Varanasi","BAN-DEL-VAR","09:00","20:48",1,"wifi available",8748,9,10,540
"Air India","2022-07-06","Patna","Kolkata","PAT-IND-GUW-CHE-KOL","16:07","07:54",3,"limited seats",7366,6,7,945
"Akasa Air","2021-04-06","Cochin","Mumbai","COC-IND-VAR-MUM","01:42","23:24",2,"new aircraft",13377,6,4,195
"Star Air","2022-10-20","Hyderabad","Lucknow","HYD-GOA-IND-PAT-LUC","04:43","05:52",3,"1 long layover",7962,20,10,255
"Alliance Air","2025-08-04","Patna","Indore","PAT-IND","22:21","06:23",0,"red-eye flight",3020,4,8,945
"Alliance Air","2019-08-11","Mumbai","Chennai","MUM-CHE","16:34","12:18",0,"none",9918,11,8,465
"Vistara","2023-10-06","Pune","Bhubaneswar","PUN-KOL-IND-BHU","08:13","11:29",2,"new aircraft",12681,6,10,180
"SpiceJet","2021-05-18","Ahmedabad","Hyderabad","AHM-HYD","11:47","19:26",0,"limited seats",8361,18,5,480
"TruJet","2021-02-04","Guwahati","Surat","GUW-JAI-PAT-BHU-SUR","09:19","11:19",3,"none",8459,4,2,735
"Air India","2022-01-11","Bangalore","Raipur","BAN-KOL-VAR-NAG-RAI","22:31","05:25",3,"business class available",11179,11,1,705
"Vistara","2022-04-21","Cochin","Patna","COC-BHU-RAI-JAI-PAT","18:03","09:04",3,"1 long layover",9778,21,4,60
"GoAir","2025-01-17","Nagpur","Pune","NAG-SUR-PUN","14:18","06:49",1,"red-eye flight",10031,17,1,735
"IndiGo","2022-09-08","Pune","Ahmedabad","PUN-CHE-GOA-AHM","11:41","13:30",2,"1 long layover",13649,8,9,315
"TruJet","2022-04-19","Varanasi","Mumbai","VAR-MUM","17:01","11:35",0,"red-eye flight",8146,19,4,855
"GoAir","2023-10-13","Bhubaneswar","Nagpur","BHU-SUR-KOL-NAG","14:45","05:32",2,"in-flight meal not included",5737,13,10,330
"Air India","2020-09-21","Pune","Indore","PUN-JAI-BAN-IND","09:32","02:30",2,"1 long layover",8555,21,9,75
"Vistara","2023-05-23","Varanasi","Delhi","VAR-BHU-SUR-GUW-DEL","13:01","23:55",3,"new aircraft",14452,23,5,360
"IndiGo","2021-05-23","Bangalore","Surat","BAN-SUR","14:07","03:54",0,"1 long layover",7029,23,5,660
"SpiceJet","2021-03-23","Surat","Goa","SUR-AHM-PUN-GOA","12:14","02:48",2,"in-flight meal not included",6322,23,3,510
"SpiceJet","2019-11-18","Surat","Raipur","SUR-GUW-RAI","22:59","07:18",1,"red-eye flight",12765,18,11,105
"Vistara","2024-01-27","Bhubaneswar","Lucknow","BHU-LUC","04:45","13:52",0,"red-eye flight",8816,27,1,930
"Air India","2020-11-17","Goa","Kolkata","GOA-KOL","18:15","07:01",0,"red-eye flight",5863,17,11,840
"Air India","2025-06-12","Chennai","Raipur","CHE-COC-SUR-RAI","14:55","21:19",2,"extra baggage allowed",7725,12,6,855
"Star Air","2024-05-19","Nagpur","Patna","NAG-KOL-BAN-PAT","07:09","23:17",2,"new aircraft",7149,19,5,285
"AirAsia India","2023-07-22","Surat","Indore","SUR-GOA-MUM-IND","21:10","05:34",2,"extra baggage allowed",7620,22,7,60
"TruJet","2020-04-20","Varanasi","Guwahati","VAR-HYD-PUN-CHE-GUW","13:02","11:33",3,"in-flight meal not included",13825,20,4,720
"AirAsia India","2020-04-11","Goa","Cochin","GOA-CHE-HYD-COC","21:05","13:29",2,"none",7858,11,4,690
"TruJet","2024-05-13","Jaipur","Hyderabad","JAI-NAG-LUC-HYD","12:23","09:17",2,"none",15172,13,5,345
"Alliance Air","2024-11-05","Ahmedabad","Nagpur","AHM-NAG","06:58","23:20",0,"red-eye flight",11519,5,11,270
"TruJet","2025-02-05","Ahmedabad","Hyderabad","AHM-IND-HYD","02:18","14:34",1,"wifi available",12554,5,2,600
"TruJet","2025-05-09","Jaipur","Varanasi","JAI-BAN-GOA-HYD-VAR","11:23","02:56",3,"none",16028,9,5,525
"TruJet","2025-08-15","Patna","Chennai","PAT-MUM-CHE","18:12","13:37",1,"extra baggage allowed",9640,15,8,75
"Vistara","2022-10-19","Varanasi","Lucknow","VAR-PAT-BHU-LUC","16:29","00:32",2,"in-flight meal not included",12483,19,10,390
"Alliance Air","2020-02-28","Bangalore","Lucknow","BAN-CHE-PAT-RAI-LUC","12:56","23:49",3,"1 long layover",14612,28,2,945
"TruJet","2022-10-07","Raipur","Guwahati","RAI-DEL-GUW","08:18","14:55",1,"limited seats",8012,7,10,270
"Star Air","2023-01-27","Surat","Raipur","SUR-RAI","12:06","02:57",0,"new aircraft",3565,27,1,150
"Air India","2021-07-08","Indore","Jaipur","IND-CHE-JAI","08:30","01:49",1,"red-eye flight",3513,8,7,810
"GoAir","2024-05-14","Goa","Kolkata","GOA-KOL","09:12","23:27",0,"business class available",2560,14,5,180
"AirAsia India","2020-06-21","Mumbai","Raipur","MUM-IND-RAI","16:06","18:49",1,"limited seats",8875,21,6,645
"GoAir","2025-07-28","Varanasi","Kolkata","VAR-KOL","02:07","16:04",0,"business class available",10500,28,7,675
"Alliance Air","2023-02-28","Jaipur","Nagpur","JAI-NAG","23:30","01:38",0,"1 long layover",8036,28,2,930
"TruJet","2020-09-27","Goa","Bhubaneswar","GOA-IND-JAI-BHU","23:07","11:39",2,"limited seats",8282,27,9,540
"Vistara","2025-11-04","Raipur","Kolkata","RAI-PUN-PAT-CHE-KOL","09:21","11:16",3,"none",5833,4,11,660
"Alliance Air","2023-08-08","Hyderabad","Kolkata","HYD-IND-VAR-KOL","07:32","08:40",2,"in-flight meal not included",7831,8,8,375
"GoAir","2024-08-27","Hyderabad","Chennai","HYD-CHE","18:29","19:19",0,"none",9288,27,8,225
"Air India","2021-08-13","Varanasi","Pune","VAR-MUM-BHU-PUN","08:03","23:05",2,"business class available",7267,13,8,150
"SpiceJet","2024-04-05","Lucknow","Ahmedabad","LUC-BHU-AHM","21:04","23:16",1,"1 long layover",11036,5,4,630
"Air India","2021-04-10","Cochin","Kolkata","COC-KOL","02:01","18:40",0,"limited seats",7588,10,4,585
"Star Air","2023-05-05","Varanasi","Nagpur","VAR-BAN-CHE-PAT-NAG","17:51","23:19",3,"business class available",7784,5,5,435
"Vistara","2020-02-11","Ahmedabad","Jaipur","AHM-JAI","20:26","14:59",0,"extra baggage allowed",7371,11,2,525
"SpiceJet","2022-12-06","Bangalore","Bhubaneswar","BAN-LUC-COC-BHU","23:39","21:24",2,"extra baggage allowed",9849,6,12,945
"Star Air","2023-10-12","Cochin","Patna","COC-PAT","11:52","07:29",0,"business class available",2511,12,10,180
"GoAir","2024-02-19","Patna","Surat","PAT-NAG-BHU-CHE-SUR","21:34","01:25",3,"in-flight meal not included",16909,19,2,330
"TruJet","2022-10-08","Surat","Chennai","SUR-KOL-CHE","12:42","03:47",1,"none",10230,8,10,660
"Alliance Air","2021-06-02","Pune","Ahmedabad","PUN-AHM","20:57","12:46",0,"business class available",8450,2,6,375
"Star Air","2022-03-16","Guwahati","Bhubaneswar","GUW-RAI-DEL-BHU","21:32","21:46",2,"new aircraft",11830,16,3,375
"Star Air","2024-04-20","Patna","Chennai","PAT-CHE","08:27","12:28",0,"1 long layover",11356,20,4,375
"Air India","2022-12-02","Jaipur","Goa","JAI-PAT-NAG-GOA","22:48","05:13",2,"limited seats",13093,2,12,180
"TruJet","2020-05-09","Guwahati","Ahmedabad","GUW-JAI-AHM","20:16","02:00",1,"limited seats",9561,9,5,285
"Alliance Air","2020-10-02","Lucknow","Cochin","LUC-PAT-BHU-COC","10:48","11:32",2,"none",10522,2,10,870
"Akasa Air","2020-07-10","Nagpur","Bhubaneswar","NAG-BHU","08:59","18:25",0,"none",7483,10,7,750
"Alliance Air","2022-10-02","Surat","Indore","SUR-AHM-GUW-LUC-IND","00:50","12:15",3,"new aircraft",6943,2,10,645
"IndiGo","2020-02-01","Chennai","Ahmedabad","CHE-DEL-AHM","18:01","14:06",1,"none",8410,1,2,495
"IndiGo","2023-05-23","Bangalore","Surat","BAN-DEL-IND-SUR","11:42","13:57",2,"business class available",11750,23,5,270
"AirAsia India","2020-12-04","Bangalore","Hyderabad","BAN-BHU-HYD","21:40","19:43",1,"red-eye flight",8080,4,12,480
"TruJet","2023-11-07","Hyderabad","Mumbai","HYD-GUW-LUC-MUM","05:20","20:00",2,"extra baggage allowed",11702,7,11,930
"GoAir","2020-07-26","Surat","Jaipur","SUR-PUN-LUC-NAG-JAI","02:02","16:31",3,"in-flight meal not included",12009,26,7,330
"Akasa Air","2025-07-07","Chennai","Lucknow","CHE-SUR-VAR-LUC","04:47","00:21",2,"red-eye flight",6278,7,7,330
"TruJet","2024-03-18","Nagpur","Lucknow","NAG-MUM-GOA-LUC","02:46","02:15",2,"wifi available",4829,18,3,135
"Alliance Air","2019-09-02","Ahmedabad","Jaipur","AHM-BAN-JAI","23:18","12:20",1,"new aircraft",7272,2,9,180
"SpiceJet","2020-10-28","Nagpur","Goa","NAG-PAT-VAR-SUR-GOA","11:37","04:08",3,"new aircraft",13125,28,10,435
"Star Air","2021-08-21","Jaipur","Ahmedabad","JAI-AHM","16:51","15:16",0,"new aircraft",3398,21,8,765
"IndiGo","2019-06-14","Kolkata","Raipur","KOL-MUM-VAR-RAI","05:20","22:58",2,"none",11123,14,6,750
"Alliance Air","2020-01-15","Ahmedabad","Bhubaneswar","AHM-VAR-NAG-BHU","08:05","02:59",2,"red-eye flight",10523,15,1,315
"GoAir","2023-07-08","Goa","Nagpur","GOA-BHU-NAG","10:01","19:18",1,"extra baggage allowed",5998,8,7,660
"Alliance Air","2019-12-04","Kolkata","Nagpur","KOL-COC-AHM-NAG","07:04","17:15",2,"extra baggage allowed",7456,4,12,690
"Alliance Air","2022-11-27","Jaipur","Mumbai","JAI-MUM","01:10","13:12",0,"extra baggage allowed",11894,27,11,810
"Star Air","2022-07-11","Pune","Chennai","PUN-GOA-VAR-HYD-CHE","18:41","22:29",3,"new aircraft",7715,11,7,585
"Vistara","2020-08-23","Jaipur","Chennai","JAI-IND-CHE","21:50","09:46",1,"red-eye flight",6437,23,8,915
"TruJet","2022-10-28","Guwahati","Ahmedabad","GUW-AHM","22:56","23:01",0,"in-flight meal not included",7585,28,10,840
"SpiceJet","2023-08-24","Mumbai","Guwahati","MUM-JAI-GUW","10:13","14:39",1,"in-flight meal not included",11565,24,8,885
"Akasa Air","2020-12-18","Goa","Guwahati","GOA-AHM-PAT-GUW","11:43","11:45",2,"wifi available",13540,18,12,645
"Star Air","2024-02-28","Bhubaneswar","Indore","BHU-RAI-AHM-GOA-IND","17:41","08:01",3,"1 long layover",7421,28,2,435
"TruJet","2024-06-21","Patna","Pune","PAT-MUM-NAG-CHE-PUN","11:37","19:20",3,"limited seats",8303,21,6,360
"TruJet","2023-02-09","Jaipur","Indore","JAI-PUN-IND","10:40","18:33",1,"extra baggage allowed",4217,9,2,525
"IndiGo","2024-04-04","Raipur","Goa","RAI-BHU-GOA","14:24","11:21",1,"1 long layover",13461,4,4,390
"TruJet","2023-01-02","Guwahati","Pune","GUW-RAI-GOA-CHE-PUN","23:18","13:20",3,"limited seats",13674,2,1,780
"Akasa Air","2020-08-10","Mumbai","Bhubaneswar","MUM-BAN-BHU","16:39","03:21",1,"none",3925,10,8,675
"Akasa Air","2021-09-27","Delhi","Bangalore","DEL-AHM-BHU-BAN","23:55","08:52",2,"business class available",11438,27,9,885
"Star Air","2020-11-28","Bhubaneswar","Pune","BHU-IND-AHM-PUN","18:54","08:01",2,"new aircraft",13843,28,11,855
"SpiceJet","2024-09-16","Cochin","Kolkata","COC-RAI-KOL","13:21","06:18",1,"business class available",9903,16,9,465
"Vistara","2020-04-21","Goa","Hyderabad","GOA-JAI-HYD","20:50","23:13",1,"wifi available",6387,21,4,450
"Akasa Air","2023-05-10","Lucknow","Ahmedabad","LUC-AHM","07:56","08:32",0,"in-flight meal not included",8030,10,5,540
"Air India","2024-02-01","Varanasi","Raipur","VAR-LUC-GUW-SUR-RAI","00:52","17:15",3,"in-flight meal not included",15071,1,2,870
"SpiceJet","2022-02-19","Pune","Raipur","PUN-COC-IND-MUM-RAI","06:43","08:57",3,"red-eye flight",13793,19,2,285
"TruJet","2022-04-12","Guwahati","Lucknow","GUW-VAR-KOL-HYD-LUC","06:47","16:20",3,"wifi available",14639,12,4,315
"SpiceJet","2024-03-23","Chennai","Bhubaneswar","CHE-GUW-LUC-KOL-BHU","01:02","07:25",3,"limited seats",13326,23,3,90
"AirAsia India","2023-04-26","Nagpur","Lucknow","NAG-MUM-LUC","10:32","04:15",1,"limited seats",6145,26,4,645
"SpiceJet","2024-12-27","Raipur","Hyderabad","RAI-HYD","14:14","15:15",0,"red-eye flight",11464,27,12,375
"Alliance Air","2020-03-26","Bhubaneswar","Delhi","BHU-DEL","15:06","15:17",0,"1 long layover",5057,26,3,885
"Star Air","2024-01-10","Hyderabad","Pune","HYD-AHM-GUW-PUN","02:27","18:40",2,"business class available",8038,10,1,885
"TruJet","2024-04-11","Kolkata","Bangalore","KOL-SUR-NAG-BAN","20:00","06:50",2,"in-flight meal not included",5967,11,4,75
"Alliance Air","2025-07-27","Surat","Bhubaneswar","SUR-GOA-JAI-BHU","07:19","14:35",2,"red-eye flight",11979,27,7,465
"TruJet","2022-04-26","Indore","Chennai","IND-GOA-PAT-AHM-CHE","00:53","12:29",3,"wifi available",9304,26,4,645
"Alliance Air","2021-11-20","Pune","Kolkata","PUN-CHE-KOL","06:05","21:57",1,"extra baggage allowed",11178,20,11,390
"Alliance Air","2022-11-23","Chennai","Guwahati","CHE-BHU-COC-GUW","11:49","02:33",2,"business class available",13129,23,11,105
"AirAsia India","2019-01-12","Varanasi","Patna","VAR-DEL-PAT","13:15","13:25",1,"in-flight meal not included",12847,12,1,255
"Star Air","2022-02-08","Bhubaneswar","Cochin","BHU-BAN-GUW-COC","11:31","18:03",2,"none",7571,8,2,240
"Alliance Air","2023-07-01","Nagpur","Varanasi","NAG-VAR","04:38","17:31",0,"business class available",7800,1,7,60
"SpiceJet","2019-01-25","Lucknow","Chennai","LUC-CHE","23:48","03:41",0,"wifi available",11313,25,1,135
"Vistara","2024-11-01","Pune","Chennai","PUN-GUW-BHU-CHE","16:35","17:51",2,"1 long layover",10842,1,11,795
"Vistara","2025-04-22","Pune","Lucknow","PUN-MUM-PAT-LUC","02:16","03:18",2,"new aircraft",13529,22,4,735
"Vistara","2024-02-12","Kolkata","Varanasi","KOL-COC-VAR","16:22","19:12",1,"extra baggage allowed",4472,12,2,690
"AirAsia India","2021-05-20","Varanasi","Hyderabad","VAR-BHU-PUN-RAI-HYD","03:33","00:59",3,"new aircraft",13411,20,5,660
